loser_age,loser_hand,loser_ioc,loser_rank,loser_rank_points,surface,tourney_level,winner_age,winner_hand,winner_ioc,winner_rank,winner_rank_points,year,games,id
22.05886379,R,CZE,102,293,Clay,G,24.21902806,R,AUT,17,1405,2000,2,167
17.97399042,R,RUS,62,580,Clay,G,25.48391513,R,GER,12,1789,2000,3,168
26.01505818,R,VEN,96,330,Clay,G,22.33812457,R,USA,33,871,2000,2,169
24.72279261,R,RUS,19,1265,Clay,G,21.51676934,R,POL,118,256,2000,3,170
21.33607118,L,AUT,61,590,Clay,G,27.62217659,R,USA,75,429,2000,2,171
17.19917864,R,FRA,NA,NA,Clay,G,25.51676934,R,GER,NA,NA,2000,3,172
27.23340178,R,AUS,49,645,Clay,G,20.97193703,L,FRA,158,161,2000,2,173
21.14715948,R,FRA,172,146,Clay,G,23.01437372,R,THA,56,615,2000,2,174
23.68514716,R,GER,104,291,Clay,G,19.94798084,R,USA,4,2577,2000,2,175
23.35934292,R,RUS,92,345,Clay,G,28.11772758,R,ESP,5,2573,2000,2,176
18.89117043,R,RUS,52,629,Clay,G,21.27857632,R,ZIM,59,597,2000,3,177
22.55715264,R,ESP,57,610,Clay,G,28.08761123,R,ITA,51,631,2000,2,179
16.97467488,R,BEL,29,925,Clay,G,24.90075291,R,JPN,21,1238,2000,3,180
24.99110198,R,ROU,106,283,Clay,G,23.92334018,R,CZE,68,509,2000,2,181
18.22313484,R,CRO,55,622,Clay,G,22.85831622,R,AUT,35,853,2000,2,182
16.08213552,R,RUS,120,242,Clay,G,26.4312115,L,ESP,31,885,2000,2,185
22.16016427,R,SUI,87,364,Clay,G,24.7008898,R,PAR,151,172,2000,2,186
29.19917864,R,RSA,95,330,Clay,G,20.32854209,R,GER,103,292,2000,3,187
21.03764545,R,GER,135,199,Clay,G,20.84873374,L,FRA,28,949,2000,2,189
26.17659138,R,ROU,60,591,Clay,G,17.36618754,R,ESP,108,278,2000,2,190
24.02190281,R,GER,156,165,Clay,G,19.6605065,R,SUI,1,5982,2000,2,192
21.30321697,R,CZE,42,733,Clay,G,25.16084873,R,BUL,64,543,2000,3,194
22.36276523,R,HUN,111,272,Clay,G,21.3908282,R,COL,34,858,2000,2,196
29.77412731,R,BEL,99,319,Clay,G,29.11978097,R,BLR,40,765,2000,3,197
27.71800137,R,NED,89,347,Clay,G,24.27652293,R,USA,25,1041,2000,3,198
23.88774812,R,SUI,72,462,Clay,G,26.48870637,L,USA,3,2691,2000,2,200
25.76865161,R,HUN,132,200,Clay,G,22.28884326,L,HUN,58,606,2000,2,201
17.13073238,R,AUS,30,911,Clay,G,24.88980151,R,CZE,43,713,2000,2,202
24.81314168,R,ESP,47,662,Clay,G,20.90075291,R,FRA,14,1686,2000,2,203
